Number,sample_identifier,oxygen,deuterium,Type,Location,High_Frequency,Event,Date,Time,Date_Time,Times
,"US14 7/7/18 F,UA",-4.62,-24,Upstream,,,,,,,
,"DS15 7/7/18 F,UA",-4.56,-23.6,Stream,,,,,,,
,"US5 7/7/18 F,UA",-4.84,-22.9,Upstream,,,,,,,
,"US6 7/7/18 F,UA",-4.72,-23.8,Upstream,,,,,,,
,"US7 7/7/18 F,UA",-4.45,-23.5,Upstream,,,,,,,
,"US8 7/7/18 F,UA",-4.64,-22.5,Upstream,,,,,,,
,"DS2 7/7/18 F,UA",-4.28,-26.4,Stream,,,,,,,
,"DS9 7/7/18 F,UA",-4.52,-25.2,Stream,,,,,,,
,"US9 7/7/18 F,UA",-4.84,-23.4,Upstream,,,,,,,
,"DS3 7/7/18 F,UA",-4.81,-24.6,Stream,,,,,,,
,"DS10 7/7/18 F,UA",-4.96,-24.8,Stream,,,,,,,
,"US10 7/7/18 F,UA",-4.78,-22.7,Upstream,,,,,,,
,"DS16 7-7-18 F,UA",-4.78,-22.8,Stream,,,,,,,
,"US15 7/7/18 F,UA",-4.87,-23.8,Upstream,,,,,,,
,"US4 7/6/18 F,UA",-4.83,-22.4,Upstream,,,,,,,
,"US3 7/6/18 F,UA",-5.14,-24.9,Upstream,,,,,,,
,"US2 7/6/18 F,UA ",-4.73,-23.8,Upstream,,,,,,,
,"USLB 7/6/18 F,UA ",-4.76,-25.3,Upstream,,,,,,,
,"US1 7/6/18 F,UA ",-4.85,-25.2,Upstream,,,,,,,
,"DS1 7/6/18 F,UA ",-4.88,-22.9,Stream,,,,,,,
,"Well 205 7/5/18 F,UA",-4.68,-26.2,Well,,,,,,,
,"Ter los Laurel 7/4/18 F,UA",-4.82,-21.3,Laurel,,,,,,,
,"Trib Right 7/3/18 F,UA",-5.06,-26.9,Tributary,,,,,,,
,"Well 203 7/3/18 F,UA",-5.44,-25.1,Well,,,,,,,
,"Sp. Box 7/2/18 F,_",-5.34,-25.5,Spring,,,,,,,
,"Howler 2 7/2/18 F,UA",-5.21,-25.3,Howler,,,,,,,
,"HW Trib 7/2/18 F,UA",-5.55,-27.1,Tributary,,,,,,,
,"Howler Weir 7/2/18 F,UA",-6.69,-28.1,Howler,,,,,,,
,"Well 200 7/2/18 F,UA",-6.49,-26.9,Well,,,,,,,
,"Well 202 7/2/18 F,UA",-6.02,-27.1,Well,,,,,,,
,"DS17 7/8/18 F,UA",-5.83,-27.8,Stream,,,,,,,
,"US18 7/8/18 F,UA",-5.63,-27.6,Upstream,,,,,,,
,"PBU SP 6/30/18 F,UA",-5.68,-28.4,Penas,,,,,,,
,"PBU 6/30/18 F,UA",-5.72,-25.7,Penas,,,,,,,
,"PBM 6/30/18 F,UA",-5.85,-27.6,Penas,,,,,,,
,"PBL 6/30/18 F,UA",-5.82,-28,Penas,,,,,,,
,"DS18 7/8/18 F,UA",-5.62,-23.9,Stream,,,,,,,
,"DS19 7/8/18 F,UA",-5.49,-25.9,Stream,,,,,,,
,"US19 7/8/18 F,UA",-5.38,-25.6,Upstream,,,,,,,
,"DS20 7/8/18 F,UA",-5.44,-24.9,Stream,,,,,,,
,"US20 7/8/18 F,UA",-5.31,-24.1,Upstream,,,,,,,
,"DS21 7/8/18 F,UA",-5.48,-24.5,Stream,,,,,,,
,"US21 7/8/18 F,UA",-6.13,-32.3,Upstream,,,,,,,
,"DS22 7/8/18 F,UA",-5.27,-38.3,Stream,,,,,,,
