Date,SC
7/8/2018 13:53,113.6
7/8/2018 14:03,113.5
7/8/2018 14:13,112.3
7/8/2018 14:23,112.5
7/8/2018 14:33,112.5
7/8/2018 14:43,113
7/8/2018 14:53,112.5
7/8/2018 15:03,113.1
7/8/2018 15:13,112.1
7/8/2018 15:23,111
7/8/2018 15:33,111.7
7/8/2018 15:43,112.3
7/8/2018 15:53,112.7
7/8/2018 16:03,112.5
7/8/2018 16:13,112.7
7/8/2018 16:23,113
7/8/2018 16:33,113.1
7/8/2018 16:43,112.7
7/8/2018 16:53,113.1
7/8/2018 17:03,113.2
7/8/2018 17:13,113.5
7/8/2018 17:23,113.6
7/8/2018 17:33,113.6
